id,product_id,name,item_id,review_count,vendor_name,price,original_price,candidate_price,discount_rate,product_rating,category,shipping_fee,shipping_days,created_at
2842,8084159475,"아누아 파데프리 매트 벗 글로우 커버베이지, 2개, 50ml",21797514313,227,제이마켓,35910,0,35910,0,4,쿠팡수입 > 뷰티 > 스킨케어 > 크림/올인원 > 페이셜크림,0,1,2026-01-25 14:43:07.747778+00
2843,8087898017,쿠쿠 전기압력밥솥 10인용,24278843241,21560,이프로샵,18950,0,18950,0,4.5,결혼준비 > 가전 > 밥솥/주방가전 > 전기밥솥,0,6,2026-01-25 14:43:07.747778+00
2844,8105842107,"픽픽 닥터 브로너 퓨어카스틸 비누 라벤더 2온스3개팩 250620, 3개",21944679632,2117,시크픽23,39800,0,39800,0,5,뷰티 > 스킨케어 > 기초세트,0,1,2026-01-25 14:43:07.747778+00
2845,8123004945,"불스원 7만키로 연료첨가제 휘발유 500ml, 1개, 가솔린/휘발유",25266684243,37888,클레리브,30000,0,30000,0,5,자동차용품 > 겨울철 차량관리 > 부동액/배터리용품 > 연료첨가제,0,3,2026-01-25 14:43:07.747778+00
2846,8136129971,"나우푸드 가르시니아 1000mg 타블렛, 120정, 1개",1199582,2956,비타플러스,23380,0,23380,0,4.5,헬스/건강식품 > 다이어트/이너뷰티 > 탄수화물차단제 > 가르시니아,0,5,2026-01-25 14:43:07.747778+00
2847,8145067451,로지텍 2세대 LIGHTSYNC 게이밍 유선마우스,19848126302,31568,부스터,15900,0,15900,0,5,쿠팡수입 > 가전디지털 > 키보드/마우스 > 마우스 > 유선마우스,0,4,2026-01-25 14:43:07.747778+00
2848,8156854004,"쉬프 무브프리 어드밴스드 조인트 헬스 글루코사민 + 콘드로이틴 + 프루트X-B 타블렛, 200정, 1개",27281105379,4427,Chloe and Co LLC,55980,0,55980,0,4.5,헬스/건강식품 > 건강식품 > 기타건강식품 > 기타건강식품,0,5,2026-01-25 14:43:07.747778+00
2849,8162048625,로랜텍 윈쿨 스몰 저소음 경량 미니 핸디 무선 휴대용 손선풍기,23272319383,1988,헤세드원,19900,0,19900,0,5,가전디지털 > 계절가전 > 선풍기 > USB/휴대용,0,1,2026-01-25 14:43:07.747778+00
2850,8163450918,"딥티크 도 손 오드뚜왈렛, 50ml, 1개",8136515702,332,비비드라인,27520,0,27520,0,4.5,R.LUX > 뷰티 > 향수 > 향수,0,1,2026-01-25 14:43:07.747778+00
2851,8174406965,마이크로닉스 Classic 2 풀체인지 3.1 700W 80PLUS 230V EU,23358034378,952,Coupang,85750,0,85750,33,5,가전디지털 > PC부품 > 케이스/파워 > 파워,0,2,2026-01-25 14:43:07.747778+00
2852,8181045304,이즈니 가염 버터 포션 부드러운 10g 5개,24356889973,539,채스토어,25900,0,25900,0,5,식품 > 사과식초/땅콩버터 외 > 유제품/치즈/버터 > 치즈 > 기타 구워먹는 치즈,0,3,2026-01-25 14:43:07.747778+00
2853,8192791429,베베숲 프리미어 물티슈 캡형,23452601776,25925,주식회사 휴블리스,6160,0,6160,0,5,출산/유아동 > 출산준비물/선물 > 위생/건강용품 > 물티슈/건티슈,0,5,2026-01-25 14:43:07.747778+00
2854,8204620034,샤오미 보조배터리 10000 8세대 22.5W 고속 대용량 초고속 충전 C타입 휴대용,23530355339,635,위캔코퍼레이,26810,0,26810,0,4.5,가전디지털 > 1인방송 전문관 > 저장장치/배터리 > 보조배터리,0,6,2026-01-25 14:43:07.747778+00
2855,8244032757,"스팸 클래식, 200g, 9개",15395230860,125391,원투상사,9200,0,9200,0,5,식품 > 반찬/간편식/대용식 > 고기/해물/간편조리 > 돼지고기 양념/가공 > 햄통조림,0,4,2026-01-25 14:43:07.747778+00
2856,8256805544,"핫식스 롯데칠성음료 에너지음료, 250ml, 2개",10386824175,61369,장바구니닷컴,7900,0,7900,0,5,식품 > 생수/음료 > 숙취/건강음료 > 에너지음료,0,3,2026-01-25 14:43:07.747778+00
2857,8261697688,버켄스탁 보스턴 스웨이드 레더 타우페 남여공용 슬리퍼 5종,26947964959,151,후쥔칭이커머스 유한회사,39900,0,39900,0,4.5,패션의류/잡화 > 여성패션 > 신발 > 슬리퍼/쪼리 > 슬리퍼,0,5,2026-01-25 14:43:07.747778+00
2858,8285435999,"로투스 비스코프, 312.5g, 3개",20914859292,14073,(주)비오비,22500,0,22500,0,5,쿠팡수입 > 식품 > 과자/초콜릿/시리얼 > 비스킷/크래커 > 비스킷,0,3,2026-01-25 14:43:07.747778+00
2859,8288998026,"뉴욕웨이 라이트 초코 곡물맛 2000g 단백질보충제 단백질쉐이크 프로틴, 2kg, 1개",22670324117,11431,"(주)제이케이트레이딩앤뉴트리션(JK TRADING & NUTRITION co.,Ltd.)",36800,99000,36800,62,4.5,헬스/건강식품 > 헬스보충식품 > 프로틴 > 소고기/대두/기타,0,1,2026-01-25 14:43:07.747778+00
2860,8289161732,활성산소 나 혈전 같은 심혈관 질환 에 도움이 될수도있는 지용성 비타민 건강기능식품 < 비타민E 영양제 > 미국직수입 완제품 항산화영양제 / 단품 부터 1+1 1+2 2+2 행사중,11848503359,0,원가상점,160000,260000,160000,36,0,쿠팡수입 > 식품 > 건강식품 > 비타민/미네랄 > 비타민E,0,4,2026-01-25 14:43:07.747778+00
2861,8293264853,동아제약 오쏘몰 이뮨 7일분 국내정품 멀티비타민,26739730432,17,씨에이치커머스,31120,0,31120,0,5,식품 > 식품 선물세트 > 건강 > 비타민/건강식품,0,2,2026-01-25 14:43:07.747778+00
2862,8295695198,"조선미녀 맑은쌀 선크림 아쿠아프레쉬 SPF50+ PA++++, 50ml, 1개",24151553744,2160,Coupang,17000,0,17000,0,4.5,뷰티 > 선케어/태닝 > 선케어 > 선케어/선크림/선로션,0,0,2026-01-25 14:43:07.747778+00
2863,8299623506,"에스티로더 어드밴스드 나이트 리페어 싱크로나이즈드 멀티 리커버리 콤플렉스, 115ml, 1개",12865592322,188,KHMALL,78000,0,78000,0,4.5,R.LUX > 뷰티 > 스킨케어 > 스킨케어 > 에센스/세럼/앰플,0,3,2026-01-25 14:43:07.747778+00
