vendor_name,avg_rating,rating_std,low_rating_ratio,avg_review_length,duplicate_review_ratio,negative_keyword_ratio,textless_5star_ratio,review_count,review_density,question_count,refund_question_ratio,defect_question_ratio,authenticity_question_ratio,question_density,question_review_ratio,negative_sentiment_ratio,avg_sentiment_score,rating_normalized,rating_sentiment_gap,product_count,abusive_label,conditions_met_count
바이윤,2.375,0.9161253813129043,0.375,108.875,0.2222222222222222,0.375,0.0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.34375,0.03125,1,1,3
백무,4.0,0.0,0.0,669.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
베스트 명품,3.0,0.0,0.0,868.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1,1,5
부산스토어,4.0,0.0,0.0,312.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
부영 마켓플레이스,3.0,0.0,0.0,96.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1,1,5
부영 인터네셔널,4.0,0.0,0.0,690.0,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.08333333333333337,2,1,4
뷰티스마일,4.0,0.0,0.0,497.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
브랜드셀러,4.0,0.0,0.0,600.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
브릭홈,4.0,0.0,0.0,44.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
브이오라,4.0,0.0,0.0,800.0,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6159420289855072,0.75,0.1340579710144928,1,1,3
비비드라인,3.0,1.5491933384829668,0.3333333333333333,287.8333333333333,0.0,0.16666666666666666,0.0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5833333333333334,0.5,0.08333333333333337,1,1,3
비엔컴퍼니 주식회사,4.0,0.0,0.0,329.75,0.2,0.0,0.0,4,4.0,1.0,0.0,1.0,0.0,1.0,0.25,0.25,0.7803030303030303,0.75,0.030303030303030276,1,1,3
빠스트1,4.0,0.0,0.0,582.5,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,2,1,4
사만컴퍼니,4.0,0.0,0.0,182.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
삼지아이티(주),4.0,0.0,0.0,63.0,0.3333333333333333,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1,1,3
소아이카 유한회사,4.0,0.0,0.0,260.0,0.0,0.5,0.0,2,2.0,3.0,0.0,0.0,0.0,3.0,1.5,0.0,0.8,0.75,0.050000000000000044,1,1,3
소윤스텔라,3.3333333333333335,1.1547005383792515,0.3333333333333333,16.666666666666668,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5833333333333334,0.08333333333333326,1,1,3
슈퍼마아켓,4.0,0.0,0.0,57.0,0.4,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,1,1,3
스마트딜 공식몰,4.0,0.0,0.0,1165.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
시벅스-PC,4.0,0.0,0.0,716.0,0.0,0.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.7272727272727273,0.75,0.022727272727272707,1,1,5
시크픽23,3.0,1.7320508075688772,0.3333333333333333,321.3333333333333,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.5,0.39473684210526316,1,1,4
씨에이치커머스,4.0,0.0,0.0,34.0,0.3333333333333333,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,2,1,4
아이와이2상회,4.0,0.0,0.0,302.0,0.0,1.0,0.0,1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,4,1,4
아지몰,4.0,0.0,0.0,721.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
"앤커이노베이션코리아 주식회사 (Anker Innovations Korea Co., Ltd.)",2.0,0.0,1.0,897.0,0.0,1.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.5714285714285714,0.25,0.3214285714285714,1,1,6
어반스토어,4.0,0.0,0.0,787.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
에스에이치씨 스튜디오,4.0,0.0,0.0,492.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.75,0.15000000000000002,1,1,4
에쓰씨플레닛주식회사,4.3478260869565215,0.9820523802070622,0.08695652173913043,308.60869565217394,0.1875,0.043478260869565216,0.42857142857142855,23,23.0,5.0,0.0,0.0,0.0,5.0,0.21739130434782608,0.0,0.7318840579710146,0.8369565217391304,0.10507246376811574,1,1,3
에이티디,4.7,0.6569466853317862,0.0,233.8,0.15384615384615385,0.0,0.375,20,20.0,7.0,0.0,0.0,0.14285714285714285,7.0,0.35,0.0,0.7928571428571429,0.925,0.13214285714285712,1,1,3
엑설런트네트워크,4.0,0.0,0.0,631.0,0.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6,0.75,0.15000000000000002,1,1,4
엔씨앤비주식회사,4.0,0.0,0.0,824.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.75,0.13888888888888884,1,1,4
예주마켓3,4.0,0.0,0.0,801.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
오뚜기mall,4.0,0.0,0.0,42.0,0.0,0.0,0.0,1,1.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.5,0.75,0.25,1,1,5
오마주룸,4.0,0.0,0.0,148.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1,1,4
오만컴퍼니,4.0,0.0,0.0,1604.5,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,1,1,3
올바른유통,2.1666666666666665,1.4719601443879744,0.6666666666666666,41.166666666666664,0.2857142857142857,0.0,0.0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.29166666666666663,0.20833333333333337,1,1,3
와이에스마켓,4.0,0.0,0.0,659.0,0.0,1.0,0.0,1,0.5,11.0,0.0,0.36363636363636365,0.36363636363636365,5.5,11.0,0.0,0.8,0.75,0.050000000000000044,2,1,5
원가상점,3.2,0.8366600265340756,0.2,99.6,0.16666666666666666,0.0,0.0,5,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.55,0.1499999999999999,3,1,3
위하다글로벌(주),4.0,0.0,0.0,1181.0,0.0,0.0,0.0,1,1.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,0.75,0.25,1,1,5
유니마트,4.0,0.0,0.0,715.0,0.0,0.0,0.0,2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,3,1,4
유로앳홈,4.0,0.0,0.0,481.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.75,0.022727272727272707,1,1,4
유주월드,1.2,0.4216370213557839,1.0,155.5,0.18181818181818182,0.4,0.0,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4242424242424242,0.04999999999999999,0.3742424242424242,1,1,4
유진상사,4.0,0.0,0.0,302.0,0.0,1.0,0.0,1,1.0,15.0,0.0,0.0,0.0,15.0,15.0,0.0,0.6,0.75,0.15000000000000002,1,1,5
유한회사 메이랑샵,1.5,0.7071067811865476,1.0,55.5,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.375,1,1,4
유한회사 티안다오청결가구,3.6666666666666665,0.5773502691896258,0.0,1133.6666666666667,0.0,0.3333333333333333,0.0,3,3.0,13.0,0.07692307692307693,0.15384615384615385,0.0,13.0,4.333333333333333,0.3333333333333333,0.7542735042735043,0.6666666666666666,0.08760683760683763,1,1,4
윤스마트,4.0,0.0,0.0,714.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.75,0.13235294117647056,1,1,4
은진유통,4.85,0.4893604849295929,0.0,491.55,0.0,0.0,0.2777777777777778,20,20.0,5.0,0.0,0.0,0.0,5.0,0.25,0.0,0.78989898989899,0.9624999999999999,0.17260101010100992,1,1,3
이교샵,3.6666666666666665,0.5773502691896258,0.0,297.3333333333333,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0.16666666666666674,1,1,3
이글루,4.0,0.0,0.0,538.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
이상철,4.0,0.0,0.0,707.3333333333334,0.0,0.6666666666666666,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
이카운트다운,2.0,1.118033988749895,0.6666666666666666,155.22222222222223,0.0,0.1111111111111111,0.0,9,9.0,3.0,0.3333333333333333,0.0,0.3333333333333333,3.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.25,0.19444444444444442,1,1,3
이커머스몰,1.0,0.0,1.0,240.6,0.16666666666666666,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0.0,0.3333333333333333,1,1,4
정식총판도로시,4.0,0.0,0.0,908.6666666666666,0.0,0.3333333333333333,0.0,3,3.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.8327272727272729,0.75,0.08272727272727287,1,1,3
제스트칸,4.0,0.0,0.0,922.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9310344827586207,0.75,0.18103448275862066,1,1,4
제이디,2.6666666666666665,1.5275252316519465,0.3333333333333333,70.66666666666667,0.0,0.0,0.0,3,3.0,13.0,0.0,0.0,0.15384615384615385,13.0,4.333333333333333,0.0,0.7280701754385964,0.41666666666666663,0.3114035087719298,1,1,5
