vendor_name,avg_rating,rating_std,low_rating_ratio,avg_review_length,duplicate_review_ratio,negative_keyword_ratio,textless_5star_ratio,review_count,review_density,question_count,refund_question_ratio,defect_question_ratio,authenticity_question_ratio,question_density,question_review_ratio,negative_sentiment_ratio,avg_sentiment_score,rating_normalized,rating_sentiment_gap,product_count,abusive_label,conditions_met_count
씨에이치커머스,4.0,0.0,0.0,34.0,0.3333333333333333,0.0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.75,0.25,2,1,3
아이와이2상회,4.0,0.0,0.0,302.0,0.0,1.0,0.0,1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,4,1,5
아지몰,4.0,0.0,0.0,721.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
"앤커이노베이션코리아 주식회사 (Anker Innovations Korea Co., Ltd.)",2.0,0.0,1.0,897.0,0.0,1.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.25,0.25,1,1,5
어반스토어,4.0,0.0,0.0,787.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,1,1,5
에스에이치씨 스튜디오,4.0,0.0,0.0,492.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
에쓰씨플레닛주식회사,4.3478260869565215,0.9820523802070622,0.08695652173913043,308.60869565217394,0.1875,0.043478260869565216,0.42857142857142855,23,23.0,6.0,0.0,0.0,0.0,6.0,0.2608695652173913,0.043478260869565216,0.9565217391304348,0.8369565217391304,0.11956521739130443,1,0,2
에이티디,4.7,0.6569466853317862,0.0,233.8,0.15384615384615385,0.0,0.375,20,20.0,7.0,0.0,0.0,0.14285714285714285,7.0,0.35,0.0,1.0,0.925,0.07499999999999996,1,0,2
엑설런트네트워크,4.0,0.0,0.0,631.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,1,1,5
엔씨앤비주식회사,4.0,0.0,0.0,824.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.75,0.25,1,1,3
예주마켓3,4.0,0.0,0.0,801.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,1,1,5
오뚜기mall,4.0,0.0,0.0,42.0,0.0,0.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.75,0.25,1,1,4
오마주룸,4.0,0.0,0.0,148.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,1,1,5
오만컴퍼니,4.0,0.0,0.0,1604.5,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,0.25,1,1,3
올바른유통,2.1666666666666665,1.4719601443879744,0.6666666666666666,41.166666666666664,0.2857142857142857,0.0,0.0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29166666666666663,0.7083333333333334,1,1,3
와이에스마켓,4.0,0.0,0.0,659.0,0.0,1.0,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,2,1,5
원가상점,3.2,0.8366600265340756,0.2,99.6,0.16666666666666666,0.0,0.0,5,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.44999999999999996,3,0,2
위하다글로벌(주),4.0,0.0,0.0,1181.0,0.0,0.0,0.0,1,1.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,0.75,0.25,1,1,4
유니마트,4.0,0.0,0.0,715.0,0.0,0.0,0.0,2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,3,1,3
유로앳홈,4.0,0.0,0.0,481.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
유주월드,1.2,0.4216370213557839,1.0,155.5,0.18181818181818182,0.4,0.0,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.04999999999999999,0.55,1,1,3
유진상사,4.0,0.0,0.0,302.0,0.0,1.0,0.0,1,1.0,15.0,0.0,0.0,0.0,15.0,15.0,1.0,0.0,0.75,0.75,1,1,6
유한회사 메이랑샵,1.5,0.7071067811865476,1.0,55.5,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.875,1,1,3
유한회사 티안다오청결가구,3.6666666666666665,0.5773502691896258,0.0,1133.6666666666667,0.0,0.3333333333333333,0.0,3,3.0,4.0,0.0,0.0,0.0,4.0,1.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1,0,2
윤스마트,4.0,0.0,0.0,714.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
은진유통,4.85,0.4893604849295929,0.0,491.55,0.0,0.0,0.2777777777777778,20,20.0,15.0,0.0,0.0,0.0,15.0,0.75,0.0,1.0,0.9624999999999999,0.03750000000000009,1,0,2
이교샵,3.5,0.5773502691896257,0.0,239.5,0.2,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.625,0.375,1,0,2
이글루,4.0,0.0,0.0,538.0,0.0,0.0,0.0,1,1.0,2.0,0.0,0.0,0.5,2.0,2.0,0.0,1.0,0.75,0.25,1,1,4
이상철,4.0,0.0,0.0,707.3333333333334,0.0,0.6666666666666666,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,0.75,0.41666666666666663,1,1,3
이카운트다운,2.0,1.118033988749895,0.6666666666666666,155.22222222222223,0.0,0.1111111111111111,0.0,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.25,0.6388888888888888,1,1,3
이커머스몰,1.0,0.0,1.0,240.6,0.16666666666666666,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,3
정식총판도로시,4.0,0.0,0.0,908.6666666666666,0.0,0.3333333333333333,0.0,3,3.0,8.0,0.0,0.0,0.0,8.0,2.6666666666666665,0.3333333333333333,0.6666666666666667,0.75,0.08333333333333326,1,1,3
제스트칸,4.0,0.0,0.0,922.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
제이디,2.6666666666666665,1.5275252316519465,0.3333333333333333,70.66666666666667,0.0,0.0,0.0,3,3.0,13.0,0.0,0.0,0.15384615384615385,13.0,4.333333333333333,0.0,1.0,0.41666666666666663,0.5833333333333334,1,1,4
제이마켓,3.142857142857143,1.2149857925879117,0.2857142857142857,239.71428571428572,0.0,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5357142857142857,0.4642857142857143,1,0,2
제이에스퍼니처,4.0,0.0,0.0,606.5,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
제이엠파크,4.0,0.0,0.0,614.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
제이와이스타일,4.0,0.0,0.0,259.6666666666667,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
제이티알네트웍스,4.0,0.0,0.0,1303.0,0.25,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
주식회사 대한매트,2.75,1.5,0.5,97.5,0.2,0.0,0.0,4,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.4375,0.5625,1,1,3
주식회사 더수인컴퍼니,4.318181818181818,1.249242194534775,0.09090909090909091,228.9090909090909,0.26666666666666666,0.13636363636363635,0.3333333333333333,22,22.0,13.0,0.23076923076923078,0.07692307692307693,0.0,13.0,0.5909090909090909,0.13636363636363635,0.8636363636363636,0.8295454545454546,0.03409090909090906,1,0,2
주식회사 데르발론,1.2,0.44721359549995804,1.0,174.4,0.0,0.2,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.04999999999999999,0.75,1,1,3
주식회사 드링킹,4.863636363636363,0.3512500866571044,0.0,821.9545454545455,0.23076923076923078,0.045454545454545456,0.5263157894736842,22,22.0,15.0,0.0,0.0,0.0,15.0,0.6818181818181818,0.045454545454545456,0.9545454545454546,0.9659090909090908,0.011363636363636243,1,0,2
주식회사 디온,4.0,0.0,0.0,115.0,0.0,0.0,0.0,1,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.75,0.25,1,1,4
주식회사 리노아,4.0625,1.0626225419530053,0.125,100.3125,0.125,0.125,0.8571428571428571,16,16.0,7.0,0.0,0.0,0.0,7.0,0.4375,0.125,0.875,0.765625,0.109375,1,0,2
주식회사 리프앤코,2.5,2.1213203435596424,0.5,239.0,0.0,0.5,0.0,2,2.0,3.0,0.0,0.0,0.0,3.0,1.5,0.5,0.5,0.375,0.125,1,1,3
주식회사 마인드디저트,5.0,0.0,0.0,333.15,0.0,0.0,0.45,20,20.0,5.0,0.0,0.0,0.0,5.0,0.25,0.0,1.0,1.0,0.0,1,0,2
주식회사 비엔에스솔루션,3.3333333333333335,1.1547005383792515,0.3333333333333333,145.33333333333334,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5833333333333334,0.41666666666666663,1,0,2
주식회사 서포유통,4.95,0.22360679774997896,0.0,536.95,0.0,0.1,0.3157894736842105,20,20.0,15.0,0.0,0.06666666666666667,0.0,15.0,0.75,0.1,0.9,0.9875,0.08750000000000002,1,0,2
주식회사 수영사랑,4.0,0.0,0.0,606.0,0.0,0.0,0.0,2,2.0,15.0,0.0,0.0,0.06666666666666667,15.0,7.5,0.0,1.0,0.75,0.25,1,1,3
주식회사 쉬치몰,3.4,0.5477225575051661,0.0,134.4,0.0,0.2,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.6,0.20000000000000007,1,0,2
