id,seller_id,satisfaction_score,review_count,total_product_count,is_abusing_seller,processed_address,is_cross_border,is_english_name
2128,A00751767,37,14,2535,True,경기도 광주시,0,0
2129,,0,81,216,True,대구광역시 북구,0,0
2130,,0,14,8306,True,경상남도 거제시,1,0
2131,A00265358,0,14,515,True,서울특별시 강서구,0,0
2132,A01432983,37,14,23097,True,전라남도 여수시,1,0
2133,A00851985,0,14,1136,True,경기도 남양주시,0,0
2134,A01513589,0,14,21712,True,경기도 고양시,0,0
2135,A00284291,71,49,7671,True,대구광역시 중구,0,0
2136,A01228455,0,14,816,True,경기도 용인시,0,0
2137,A01087654,0,14,2798,True,경기도 수원시,0,0
2138,A00781984,0,14,8434,True,광주광역시 서구,0,0
2139,,0,14,9865,True,경기도 하남시,0,0
2140,A01375714,84,19,116,True,인천광역시 부평구,0,0
2141,A00501989,88,295,71,True,서울특별시 용산구,0,0
2142,,0,14,57,True,경기도 김포시,0,0
2143,A00873597,17,14,758,True,서울특별시 용산구,0,0
2144,A01246887,91,128,1691,True,서울특별시 마포구,0,0
2145,A01205608,42,14,391,True,경상남도 창원시,1,1
2146,A01102551,66,14,102,True,서울특별시 구로구,0,0
2147,A00083338,27,16188,4230,True,인천광역시 남동구,0,0
2148,A01148723,69,14,770,True,경기도 안산시,0,0
2149,A00470743,85,599,12678,True,경기도 양주시,0,0
2150,A01351286,82,379,0,True,인천광역시 계양구,0,0
2151,A01032178,76,174,216,True,서울특별시 구로구,0,0
2152,A00809645,73,15,1086,True,강원도 원주시,0,0
2153,A01048955,82,205,1356,True,경기도 파주시,0,0
2154,A00591143,87,75,288,True,경기도 고양시,0,0
2155,A01535096,90,20,1312,True,경기도 부천시,0,0
2156,A00227903,93,27,2859,True,경기도 고양시,0,0
2157,A01482338,29,14,582,True,경기도 남양주시,0,0
2158,A00729737,100,14,2349,True,경기도 고양시,0,0
2159,A00255144,0,14,794,True,인천광역시 부평구,0,0
2160,A01376482,29,14,3461,True,경기도 양평군,0,0
2161,A00274433,92,93,308,True,울산광역시 북구,0,0
2162,A00686879,84,31,0,True,경기도 하남시,0,0
2163,,0,18,7534,True,경기도 화성시,0,0
2164,,0,14,5,True,경기도 안양시,0,0
2165,A00548537,84,25,4156,True,경상남도 양산시,1,0
2166,A01088785,76,594,199,True,경기도 김포시,0,0
2167,A01195798,86,106,2743,True,부산광역시 남구,0,0
2168,A00341695,77,182,17902,True,서울특별시 서대문구,0,0
2169,A00065949,0,14,2147,True,서울특별시 용산구,0,0
2170,,0,14,54348,True,경기도 김포시,0,0
2171,A01560197,0,14,14497,True,경기도 광명시,0,0
2172,A01280315,67,48,17902,True,경기도 평택시,0,0
2173,,0,14,197,True,인천광역시 부평구,0,0
2174,A01334619,34,14,1969,True,경기도 안양시,0,0
2175,A00972110,0,14,1846,True,대전광역시 서구,0,0
2176,A01298811,47,14,2891,True,경기도 용인시,0,0
2177,,0,14,3492,True,강원특별자치도 원주시,0,0
2178,A01097384,0,83,426,True,서울특별시 강남구,0,0
2179,A00927491,19,14,369,True,경기도 용인시,0,0
2180,,0,14,7534,True,서울특별시 양천구,0,0
2181,A01272383,0,14,231,True,경기도 김포시,0,0
2182,,0,14,108,True,대전광역시 서구,0,0
2183,A00823903,84,126,6853,True,강원도 원주시,0,0
2184,,0,24,3684,True,경기도 김포시,0,0
2185,A01297047,77,22,9882,True,경기도 양주시,0,0
2186,,0,14,820,True,강원특별자치도 원주시,0,0
2187,A01303849,81,54,472,True,부산광역시 서구,0,0
2188,A00834811,30,14,44,True,인천광역시 부평구,0,0
2189,A01198310,77,22,0,True,경기도 김포시,0,0
2190,A01188525,0,14,12182,True,경기도 하남시,0,0
2191,A01113180,0,14,231,True,인천광역시 부평구,0,0
2192,A01233342,71,34,7671,True,경기도 김포시,0,0
2193,,0,14,126,True,경기도 김포시,0,0
2194,,0,14,527,True,경기도 김포시,0,0
2195,A01042783,43,14,460,True,경상북도 경산시,1,0
2196,A01492722,35,14,216,True,전라남도 나주시,1,1
2197,A01209216,100,14,119,True,경기도 부천시,0,0
2198,,0,14,393,True,서울특별시 강서구,0,0
2199,,0,14,1427,True,충청북도 청주시,1,1
2200,,0,530,3281,True,충청남도 천안시,1,1
2201,A01350007,71,24,1048,True,경기도 구리시,0,0
2202,A01198403,15,14,52,True,인천광역시 연수구,0,0
2203,A00349787,76,111,1321,True,인천광역시 남동구,0,0
2204,,0,14,984,True,인천광역시 서구,0,0
2205,,0,14,2012,True,경기도 부천시,0,0
2206,A00878854,98,5007,53,False,서울특별시 송파구,0,0
2207,A00009313,91,13172,411,False,경기도 포천시,0,0
2208,A00007034,97,1869,393,False,서울특별시 성동구,0,0
2209,A00717702,98,5456,63,False,서울특별시 금천구,0,0
2210,A00057491,96,1714,148,False,서울특별시 양천구,0,0
2211,A00689860,93,5321,179,False,인천광역시 계양구,0,0
2212,A00881629,95,3868,54,False,경기도 고양시,0,0
2213,A00206350,91,7156,710,False,경기도 과천시,0,0
2214,A00111760,95,13742,1767,False,경기도 안산시,0,0
2215,A01432426,97,930,5895,False,경기도 남양주시,0,0
2216,A00126792,93,4108,1408,False,강원도 원주시,0,0
2217,A00222958,90,16722,111,False,경기도 안양시,0,0
2218,A00117381,94,28723,738,False,경상북도 경산시,1,0
2219,A00085616,93,32126,738,False,경상북도 칠곡군,1,0
2220,A00137759,93,5232,1186,False,경기도 김포시,0,0
2221,A00161965,95,2338,1670,False,부산광역시 연제구,0,0
2222,A01351131,92,337,48,False,경기도 용인시,0,0
2223,A01203206,93,150,318,False,경기도 성남시,0,0
2224,A01125753,97,1190,1048,False,충청남도 태안군,1,0
2225,A01283194,98,767,29,False,서울특별시 송파구,0,0
2226,A00069988,96,25972,1315,False,서울특별시 노원구,0,0
2227,A00838119,98,2976,101,False,서울특별시 송파구,0,0
2228,A00167775,95,216809,521438,False,서울특별시 영등포구,0,0
2229,A00115143,97,4648,71,False,충청북도 음성군,1,0
2230,A00483750,96,2317,1488,False,경기도 안양시,0,0
2231,A00257843,94,1872,323,False,경기도 포천시,0,0
2232,A00584584,91,2588,6111,False,서울특별시 강동구,0,0
2233,A00929429,99,2207,12,False,경기도 용인시,0,0
2234,A00190617,95,2032,82,False,서울특별시 강동구,0,0
2235,A01255387,94,382,20,False,경기도 파주시,0,0
2236,A01173705,97,2630,120,False,경기도 부천시,0,0
